roc_auc,pr_auc,accuracy,threshold,model,best_f1_val
0.8642061736346411,0.5589966841429093,0.8142613151152861,0.6256295442581177,XGBoost,0.6083844580772158
0.8442894165618076,0.5527827900292418,0.8108454312553374,0.6081328490934599,LogReg,0.5536663124330842
0.8018363065746135,0.4783184947004087,0.7237403928266439,0.15972487538818864,RandomForest,0.5340092944651036
